register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
62f2d736dcc618b26efa,python,features/fusion_model_input.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
4f3b586290894511079b,python,features/fusion_model_input.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
7f8680f074ee96dd8a5b,python,features/fusion_model_input.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
a394f809ca685aa090b2,python,features/fusion_model_input.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
c1094503a6fafe3db4f6,python,features/fusion_model_input.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
7595f9f877a3d2fd71bf,python,features/fusion_model_input.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
5d8f3d2c8e3c6671cf35,python,features/fusion_model_input.py,7,406,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
02e116ae096a2dc00039,python,features/fusion_model_input.py,8,407,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
c1872a17295389e43b13,python,features/fusion_model_input.py,9,408,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
13f8b993125d5114a2c1,python,features/fusion_model_input.py,10,409,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
51c78c371f0e158616e7,python,features/fusion_model_input.py,11,410,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
211d702a76e75ce4ac86,python,features/fusion_model_input.py,12,411,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
c6fa845a4a18fcb21693,python,features/fusion_model_input.py,13,412,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
c822cccf9cfcc17b3a6c,python,features/fusion_model_input.py,14,413,FORMAL_NMD,L14 orchestration,L14_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
61dce6fa4aa2d257bfcb,python,features/fusion_model_input.py,15,414,FORMAL_NMD,L15 orchestration,L15_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
5782a1f8090224cecb55,python,features/fusion_model_input.py,16,415,FORMAL_NMD,L16 orchestration,L16_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
3e5dbfa29ea4020cae1e,python,features/fusion_model_input.py,17,416,FORMAL_NMD,L17 orchestration,L17_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
f380a59bfefdfcedc06d,python,features/fusion_model_input.py,18,417,FORMAL_NMD,L18 orchestration,L18_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
a1baa64543caef2a6b72,python,features/fusion_model_input.py,19,418,FORMAL_NMD,L19 orchestration,L19_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
521087e137f7ef8fc5dd,python,features/fusion_model_input.py,20,419,FORMAL_NMD,L20 orchestration,L20_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
5b8f3182883028483e1f,python,features/fusion_model_input.py,21,420,FORMAL_NMD,L21 orchestration,L21_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_model_input.py,NOT_MARKET_DATA,,,Fusion stack overlay / similarity filter adapter | line anchored HEAD c4c477d; FIND-FMI1 Mapping guard; MSC1 consumer-layer pairing
